Entry	Entry Name	Protein names	EC number
A0A520DD57	A0A520DD57_SPHSX	"Benzoate 1,2-dioxygenase large subunit"	
A0A520DKE1	A0A520DKE1_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520E3Y3	A0A520E3Y3_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520E7T4	A0A520E7T4_9BURK	Oxidoreductase	
A0A520E7T9	A0A520E7T9_9BURK	Oxidoreductase	
A0A520EPI5	A0A520EPI5_RHOSO	"Benzoate 1,2-dioxygenase large subunit (EC 1.14.12.10)"	1.14.12.10
A0A520EVA3	A0A520EVA3_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520EXQ0	A0A520EXQ0_RHOSO	Ribosomal subunit interface protein	
A0A520EZC0	A0A520EZC0_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520F0S0	A0A520F0S0_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FC01	A0A520FC01_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FKT4	A0A520FKT4_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FLT2	A0A520FLT2_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FPA3	A0A520FPA3_RHOSO	Aromatic-ring-hydroxylating dioxygenase subunit alpha	
A0A520FPM2	A0A520FPM2_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FSQ2	A0A520FSQ2_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FTD1	A0A520FTD1_RHOSO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520FV06	A0A520FV06_9BURK	"Biphenyl 2,3-dioxygenase"	
A0A520FXS9	A0A520FXS9_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520G2W0	A0A520G2W0_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520G4Z5	A0A520G4Z5_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520GGN5	A0A520GGN5_9BURK	3-phenylpropionate dioxygenase	
A0A520GMX6	A0A520GMX6_9BURK	Salicylate hydroxylase	
A0A520H4L7	A0A520H4L7_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520H4Q0	A0A520H4Q0_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520IQF5	A0A520IQF5_SPHSX	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520M3T2	A0A520M3T2_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520M4Y3	A0A520M4Y3_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520M6E8	A0A520M6E8_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520M7F1	A0A520M7F1_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520M853	A0A520M853_9GAMM	TetR family transcriptional regulator	
A0A520MBA6	A0A520MBA6_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MD52	A0A520MD52_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520ME23	A0A520ME23_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520ME45	A0A520ME45_9GAMM	Rieske domain-containing protein	
A0A520MGR6	A0A520MGR6_9GAMM	TetR family transcriptional regulator	
A0A520MIA4	A0A520MIA4_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MKG0	A0A520MKG0_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MKJ3	A0A520MKJ3_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MM73	A0A520MM73_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MML0	A0A520MML0_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MPE0	A0A520MPE0_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MPM2	A0A520MPM2_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520MR01	A0A520MR01_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520N7M4	A0A520N7M4_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520NAH5	A0A520NAH5_9PROT	(2Fe-2S)-binding protein	
A0A520NFA0	A0A520NFA0_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520NGN8	A0A520NGN8_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520NNJ7	A0A520NNJ7_9PROT	Rieske (2Fe-2S) protein	
A0A520NPE3	A0A520NPE3_9PROT	"Benzoate 1,2-dioxygenase large subunit"	
A0A520NPV5	A0A520NPV5_9PROT	"Benzoate 1,2-dioxygenase large subunit"	
A0A520NPW1	A0A520NPW1_9PROT	"Benzoate 1,2-dioxygenase large subunit"	
A0A520NRD8	A0A520NRD8_9PROT	Aromatic-ring-hydroxylating dioxygenase subunit alpha	
A0A520NSB2	A0A520NSB2_9PROT	Ribosomal subunit interface protein	
A0A520NTD9	A0A520NTD9_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520NU79	A0A520NU79_9PROT	"Biphenyl 2,3-dioxygenase"	
A0A520NU91	A0A520NU91_9PROT	Ribosomal subunit interface protein	
A0A520NXA3	A0A520NXA3_9PROT	Ribosomal subunit interface protein	
A0A520P017	A0A520P017_9PROT	"Benzoate 1,2-dioxygenase large subunit"	
A0A520P2N7	A0A520P2N7_9RHOB	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520P2T2	A0A520P2T2_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520P658	A0A520P658_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520P8L2	A0A520P8L2_9RHOB	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520P9F2	A0A520P9F2_9RHOB	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520PEI8	A0A520PEI8_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520PH20	A0A520PH20_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520PV46	A0A520PV46_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520PVU9	A0A520PVU9_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520QA65	A0A520QA65_9BACT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520QUK7	A0A520QUK7_9DELT	Rieske domain-containing protein	
A0A520QVC4	A0A520QVC4_9DELT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520QX93	A0A520QX93_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520R960	A0A520R960_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RDM4	A0A520RDM4_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520REN6	A0A520REN6_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RFF4	A0A520RFF4_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RGR7	A0A520RGR7_9GAMM	Aromatic-ring-hydroxylating dioxygenase alpha subunit C-terminal domain-containing protein	
A0A520RIL4	A0A520RIL4_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RPN6	A0A520RPN6_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RRE2	A0A520RRE2_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RS47	A0A520RS47_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RSF8	A0A520RSF8_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RSQ9	A0A520RSQ9_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RSR8	A0A520RSR8_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RTL9	A0A520RTL9_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RTW7	A0A520RTW7_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520RW43	A0A520RW43_9GAMM	Ribosomal subunit interface protein	
A0A520S7W1	A0A520S7W1_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520S8Z4	A0A520S8Z4_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520S931	A0A520S931_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SAA9	A0A520SAA9_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SC49	A0A520SC49_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SCA0	A0A520SCA0_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SDW4	A0A520SDW4_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SE17	A0A520SE17_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SF12	A0A520SF12_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SFA2	A0A520SFA2_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520SHS3	A0A520SHS3_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520T2F1	A0A520T2F1_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520T4N6	A0A520T4N6_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520T6P2	A0A520T6P2_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520TJT1	A0A520TJT1_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520TK88	A0A520TK88_9GAMM	Rieske domain-containing protein	
A0A520TMR1	A0A520TMR1_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520TXR1	A0A520TXR1_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520TZ99	A0A520TZ99_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520U752	A0A520U752_9GAMM	Rieske domain-containing protein	
A0A520UHA5	A0A520UHA5_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520UJ06	A0A520UJ06_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520UKB0	A0A520UKB0_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520UT27	A0A520UT27_9ARCH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520V770	A0A520V770_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520VSM3	A0A520VSM3_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520VYG2	A0A520VYG2_9BACT	Rieske domain-containing protein	
A0A520WG77	A0A520WG77_9BACT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520WRQ9	A0A520WRQ9_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520WXC5	A0A520WXC5_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XCU4	A0A520XCU4_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XKG5	A0A520XKG5_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XPH8	A0A520XPH8_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XTV8	A0A520XTV8_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XV83	A0A520XV83_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XYP8	A0A520XYP8_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XZ67	A0A520XZ67_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520XZR2	A0A520XZR2_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520Y170	A0A520Y170_9ACTN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520Y7X1	A0A520Y7X1_9SPHN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520YD14	A0A520YD14_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520YE59	A0A520YE59_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520YJ31	A0A520YJ31_UNCDE	Ring-hydroxylating oxygenase subunit alpha	
A0A520YN36	A0A520YN36_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520ZBM1	A0A520ZBM1_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A520ZR72	A0A520ZR72_9RHOB	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521A4I7	A0A521A4I7_9FLAO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521AW08	A0A521AW08_9FLAO	"Phenylpropionate dioxygenase, large terminal subunit"	
A0A521BJL0	A0A521BJL0_9RHOB	Rieske 2Fe-2S family protein	
A0A521CEX5	A0A521CEX5_9RHOB	"Phenylpropionate dioxygenase, large terminal subunit"	
A0A521DEW0	A0A521DEW0_9RHOB	Choline monooxygenase	
A0A521E5U4	A0A521E5U4_9ACTN	"Benzoate 1,2-dioxygenase, alpha subunit"	
A0A521EMG9	A0A521EMG9_9RHOB	Rieske 2Fe-2S family protein	
A0A521F420	A0A521F420_9RHOB	Rieske 2Fe-2S family protein	
A0A521FBF7	A0A521FBF7_9RHOB	Rieske 2Fe-2S family protein	
A0A521FGR9	A0A521FGR9_9RHOB	Rieske 2Fe-2S family protein	
A0A521FJ53	A0A521FJ53_9RHOB	"Phenylpropionate dioxygenase, large terminal subunit"	
A0A521FJJ9	A0A521FJJ9_9RHOB	"Phenylpropionate dioxygenase, large terminal subunit"	
A0A521FK55	A0A521FK55_9RHOB	Rieske 2Fe-2S family protein	
A0A521GT51	A0A521GT51_UNCPL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521HE10	A0A521HE10_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521HEM1	A0A521HEM1_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521HF68	A0A521HF68_9PROT	"Anthranilate 1,2-dioxygenase large subunit (EC 1.14.12.1)"	1.14.12.1
A0A521HTK6	A0A521HTK6_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521HTS7	A0A521HTS7_9PROT	"Benzoate 1,2-dioxygenase large subunit (EC 1.14.12.10)"	1.14.12.10
A0A521KA79	A0A521KA79_UNCPL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521KQN5	A0A521KQN5_9RHOO	Rieske (2Fe-2S) protein	
A0A521KSU7	A0A521KSU7_9RHOO	Rieske (2Fe-2S) protein	
A0A521KTI6	A0A521KTI6_9RHOO	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521LKE9	A0A521LKE9_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521LPP4	A0A521LPP4_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521LRB2	A0A521LRB2_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521LX45	A0A521LX45_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521LXG6	A0A521LXG6_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521M0E6	A0A521M0E6_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521M0I0	A0A521M0I0_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521M0Q7	A0A521M0Q7_9HYPH	Rieske (2Fe-2S) protein	
A0A521MCA2	A0A521MCA2_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521MDA1	A0A521MDA1_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521MEF6	A0A521MEF6_9HYPH	Rieske (2Fe-2S) protein	
A0A521NH04	A0A521NH04_9BURK	Ribosomal subunit interface protein	
A0A521NHF7	A0A521NHF7_9BURK	Salicylate hydroxylase	
A0A521NIP7	A0A521NIP7_9BURK	Rieske (2Fe-2S) protein	
A0A521NVF1	A0A521NVF1_9BURK	Oxidoreductase	
A0A521NVG7	A0A521NVG7_9BURK	Oxidoreductase	
A0A521P0H1	A0A521P0H1_9CAUL	Rieske (2Fe-2S) protein	
A0A521PB02	A0A521PB02_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PJW8	A0A521PJW8_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PTR1	A0A521PTR1_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PTT2	A0A521PTT2_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PUL4	A0A521PUL4_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PVB2	A0A521PVB2_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PYC3	A0A521PYC3_9SPHN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521PYZ1	A0A521PYZ1_9SPHN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521Q4J5	A0A521Q4J5_9SPHN	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521QAY0	A0A521QAY0_9SPHN	"Benzoate 1,2-dioxygenase large subunit"	
A0A521QDZ3	A0A521QDZ3_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521QEL5	A0A521QEL5_9HYPH	Rieske (2Fe-2S) protein	
A0A521QLE0	A0A521QLE0_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521QPG9	A0A521QPG9_9HYPH	Rieske domain-containing protein	
A0A521QQH0	A0A521QQH0_9HYPH	Rieske (2Fe-2S) protein	
A0A521QVG5	A0A521QVG5_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521QWF1	A0A521QWF1_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521QWK7	A0A521QWK7_9HYPH	Rieske domain-containing protein	
A0A521QZR7	A0A521QZR7_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521R3A8	A0A521R3A8_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521R3Y7	A0A521R3Y7_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521R5E5	A0A521R5E5_9HYPH	Rieske (2Fe-2S) protein	
A0A521RP79	A0A521RP79_9HYPH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521RWL3	A0A521RWL3_UNCCH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521SU24	A0A521SU24_9CHLR	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521TEP2	A0A521TEP2_9BACT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521TLR6	A0A521TLR6_9DELT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521UHY2	A0A521UHY2_9DELT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521V200	A0A521V200_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521VFI3	A0A521VFI3_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521VK45	A0A521VK45_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521XL72	A0A521XL72_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521XNP8	A0A521XNP8_UNCAC	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YAJ2	A0A521YAJ2_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YGX3	A0A521YGX3_9PROT	Ribosomal subunit interface protein	
A0A521YGY8	A0A521YGY8_9PROT	Ribosomal subunit interface protein	
A0A521YKH0	A0A521YKH0_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YKR0	A0A521YKR0_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YLA7	A0A521YLA7_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YLF2	A0A521YLF2_9PROT	"Biphenyl 2,3-dioxygenase"	
A0A521YRC7	A0A521YRC7_9PROT	Rieske (2Fe-2S) protein	
A0A521YUC1	A0A521YUC1_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YWT7	A0A521YWT7_9PROT	Aromatic-ring-hydroxylating dioxygenase alpha subunit C-terminal domain-containing protein	
A0A521YXF7	A0A521YXF7_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521YZC6	A0A521YZC6_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521Z0S8	A0A521Z0S8_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521ZDV4	A0A521ZDV4_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A521ZZG6	A0A521ZZG6_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A0U8	A0A522A0U8_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A1S1	A0A522A1S1_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A260	A0A522A260_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A2B3	A0A522A2B3_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A3N3	A0A522A3N3_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A3N9	A0A522A3N9_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A4H5	A0A522A4H5_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A4Q5	A0A522A4Q5_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A6N4	A0A522A6N4_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A825	A0A522A825_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A937	A0A522A937_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522A955	A0A522A955_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AA37	A0A522AA37_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522ACA7	A0A522ACA7_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522ACD0	A0A522ACD0_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522ACE1	A0A522ACE1_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AD35	A0A522AD35_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AE33	A0A522AE33_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AER0	A0A522AER0_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AFV7	A0A522AFV7_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AG52	A0A522AG52_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AG69	A0A522AG69_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AGU5	A0A522AGU5_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AHE3	A0A522AHE3_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522AJY0	A0A522AJY0_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522B5J1	A0A522B5J1_UNCCH	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522BTV5	A0A522BTV5_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522BUP1	A0A522BUP1_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522CF70	A0A522CF70_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522CJ28	A0A522CJ28_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522CNV0	A0A522CNV0_9CAUL	Rieske (2Fe-2S) protein	
A0A522CVH4	A0A522CVH4_9PROT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522D8D2	A0A522D8D2_9CAUL	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522E2J5	A0A522E2J5_9BACT	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522EGE3	A0A522EGE3_9BURK	Oxidoreductase	
A0A522EGK6	A0A522EGK6_9BURK	Oxidoreductase	
A0A522F5F8	A0A522F5F8_9GAMM	Rieske domain-containing protein	
A0A522FHK1	A0A522FHK1_9GAMM	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522FI37	A0A522FI37_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522G939	A0A522G939_9BURK	Rieske domain-containing protein	
A0A522G9M3	A0A522G9M3_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522G9S1	A0A522G9S1_9BURK	Oxidoreductase	
A0A522GAZ5	A0A522GAZ5_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522GBG2	A0A522GBG2_9BURK	"Biphenyl 2,3-dioxygenase"	
A0A522GCA9	A0A522GCA9_9BURK	Rieske (2Fe-2S) protein	
A0A522GES4	A0A522GES4_9BURK	Ribosomal subunit interface protein	
A0A522GKP9	A0A522GKP9_9BURK	Oxidoreductase	
A0A522GLQ1	A0A522GLQ1_9BURK	Rieske (2Fe-2S) protein	
A0A522HJ93	A0A522HJ93_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522IFE8	A0A522IFE8_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522IFR6	A0A522IFR6_9BURK	"Benzoate 1,2-dioxygenase large subunit"	
A0A522IGA8	A0A522IGA8_9BURK	Rieske (2Fe-2S) protein	
A0A522IM61	A0A522IM61_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522IMS0	A0A522IMS0_9BURK	Rieske domain-containing protein	
A0A522IPQ0	A0A522IPQ0_9BURK	Rieske (2Fe-2S) protein	
A0A522IR65	A0A522IR65_9BURK	Oxidoreductase	
A0A522IW77	A0A522IW77_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522JNS2	A0A522JNS2_9BURK	Ribosomal subunit interface protein	
A0A522JR24	A0A522JR24_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522KBY4	A0A522KBY4_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522KDN1	A0A522KDN1_9BURK	Oxidoreductase	
A0A522KMF2	A0A522KMF2_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522L2E1	A0A522L2E1_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522LKJ4	A0A522LKJ4_9BURK	Salicylate hydroxylase	
A0A522M048	A0A522M048_9BURK	Aromatic-ring-hydroxylating dioxygenase alpha subunit C-terminal domain-containing protein	
A0A522MBQ2	A0A522MBQ2_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522MC89	A0A522MC89_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
A0A522MFD1	A0A522MFD1_9BURK	Aromatic ring-hydroxylating dioxygenase subunit alpha	
